5wir_C.pdb	5wir_C.pdb
3qj6_T.pdb	3qj6_T.pdb
3pkn_B.pdb	3pkn_B.pdb
6tjt_D.pdb	6tjt_D.pdb
5zgc_G.pdb	5zgc_G.pdb
3q6s_E.pdb	3q6s_E.pdb
4p0a_B.pdb	4p0a_B.pdb
5t6x_C.pdb	5t6x_C.pdb
5v4b_C.pdb	5v4b_C.pdb
6vme_C.pdb	6vme_C.pdb
5v6y_E.pdb	5v6y_E.pdb
6msb_W.pdb	6msb_W.pdb
6msb_W.pdb	5ezv_A.pdb
6msb_W.pdb	3rnm_A.pdb
6msb_W.pdb	1zy8_A.pdb
6msb_W.pdb	6l4o_A.pdb
6msb_W.pdb	4xr8_A.pdb
6msb_W.pdb	6i4y_A.pdb
6msb_W.pdb	7a8t_A.pdb
6msb_W.pdb	4ccm_A.pdb
6msb_W.pdb	3e0j_A.pdb
6msb_W.pdb	1fbv_A.pdb
6msb_W.pdb	4a4c_A.pdb
6msb_W.pdb	2y1n_A.pdb
6msb_W.pdb	3zni_A.pdb
6msb_W.pdb	2ovr_B.pdb
6msb_W.pdb	5v4b_B.pdb
6msb_W.pdb	3f8u_B.pdb
6msb_W.pdb	7k0k_B.pdb
6msb_W.pdb	7k0m_B.pdb
6msb_W.pdb	5zoo_G.pdb
6msb_W.pdb	6m90_A.pdb
6msb_W.pdb	1p22_A.pdb
6msb_W.pdb	6wnx_A.pdb
6msb_W.pdb	6icz_W.pdb
6msb_W.pdb	6yxq_B.pdb
6msb_W.pdb	4ouc_A.pdb
7cp9_C.pdb	7cp9_C.pdb
3au4_B.pdb	3au4_B.pdb
5xln_B.pdb	5xln_B.pdb
3bin_A.pdb	3bin_A.pdb
3bin_A.pdb	6zp4_M.pdb
3bin_A.pdb	4zri_A.pdb
3bin_A.pdb	6caj_I.pdb
3bin_A.pdb	6zp4_H.pdb
3bin_A.pdb	5awt_A.pdb
3bin_A.pdb	1ul1_A.pdb
3bin_A.pdb	5iy4_A.pdb
3bin_A.pdb	5mlo_A.pdb
3bin_A.pdb	5yco_A.pdb
3bin_A.pdb	6k3a_A.pdb
3bin_A.pdb	5e0u_A.pdb
3bin_A.pdb	1u76_A.pdb
3bin_A.pdb	3tbl_A.pdb
3bin_A.pdb	4cqm_B.pdb
3bin_A.pdb	4cqm_A.pdb
3bin_A.pdb	4qoz_B.pdb
3bin_A.pdb	2as5_M.pdb
3bin_A.pdb	1a02_N.pdb
3bin_A.pdb	3qrf_M.pdb
3bin_A.pdb	1pzl_A.pdb
3bin_A.pdb	3s97_A.pdb
3bin_A.pdb	5txk_A.pdb
3bin_A.pdb	6vcd_B.pdb
3bin_A.pdb	6id1_T.pdb
3bin_A.pdb	2nz8_B.pdb
5nng_B.pdb	5nng_B.pdb
5eof_C.pdb	5eof_C.pdb
5eof_C.pdb	5ep6_B.pdb
1h24_E.pdb	1h24_E.pdb
5n92_A.pdb	5n92_A.pdb
5n92_A.pdb	5n92_F.pdb
5n92_A.pdb	6b9x_B.pdb
5n92_A.pdb	5x6v_B.pdb
5n92_A.pdb	6ehr_B.pdb
5n92_A.pdb	4dbg_B.pdb
4is6_C.pdb	4is6_C.pdb
4gba_F.pdb	4gba_F.pdb
5ep6_A.pdb	5ep6_A.pdb
6p3w_E.pdb	6p3w_E.pdb
5gk9_B.pdb	5gk9_B.pdb
1p4u_B.pdb	1p4u_B.pdb
6z3l_B.pdb	6z3l_B.pdb
6z3l_B.pdb	6z3g_B.pdb
6z3l_B.pdb	4ui0_C.pdb
6z3l_B.pdb	1s1c_X.pdb
6m64_B.pdb	6m64_B.pdb
2yjd_C.pdb	2yjd_C.pdb
1a02_J.pdb	1a02_J.pdb
1a02_J.pdb	1t2k_C.pdb
1a02_J.pdb	5f5s_B.pdb
1a02_J.pdb	1t2k_D.pdb
1a02_J.pdb	4bry_A.pdb
1a02_J.pdb	5j03_A.pdb
1oc0_A.pdb	1oc0_A.pdb
1oc0_A.pdb	3pb1_I.pdb
1oc0_A.pdb	1ira_Y.pdb
1oc0_A.pdb	5k1c_C.pdb
1oc0_A.pdb	5vbn_A.pdb
1oc0_A.pdb	6msb_Y.pdb
1oc0_A.pdb	3tg5_A.pdb
1oc0_A.pdb	4o6f_A.pdb
1oc0_A.pdb	6urg_B.pdb
1oc0_A.pdb	3zyi_B.pdb
1oc0_A.pdb	6caj_E.pdb
1oc0_A.pdb	6zp4_E.pdb
1oc0_A.pdb	6epo_S.pdb
1oc0_A.pdb	6b3x_A.pdb
1oc0_A.pdb	7of6_C.pdb
1oc0_A.pdb	6caj_A.pdb
1oc0_A.pdb	6o60_C.pdb
1oc0_A.pdb	3tw8_A.pdb
1oc0_A.pdb	6ekk_A.pdb
3d24_B.pdb	3d24_B.pdb
2dyp_C.pdb	2dyp_C.pdb
3fqx_C.pdb	3fqx_C.pdb
3eu7_X.pdb	3eu7_X.pdb
7cna_B.pdb	7cna_B.pdb
3zni_B.pdb	3zni_B.pdb
3zni_B.pdb	2y1n_B.pdb
3dlq_I.pdb	3dlq_I.pdb
3dlq_I.pdb	3g9v_B.pdb
3dlq_I.pdb	2nut_C.pdb
3dlq_I.pdb	2xze_A.pdb
3dlq_I.pdb	4dx9_0.pdb
3dlq_I.pdb	3wtp_E.pdb
3dlq_I.pdb	5b0z_A.pdb
3dlq_I.pdb	5b32_A.pdb
3dlq_I.pdb	5x7x_A.pdb
3dlq_I.pdb	5gt0_A.pdb
3dlq_I.pdb	6x59_A.pdb
3dlq_I.pdb	5y0d_A.pdb
3dlq_I.pdb	7lyc_A.pdb
3dlq_I.pdb	6jou_A.pdb
3dlq_I.pdb	6k1k_A.pdb
3dlq_I.pdb	4z5t_A.pdb
3dlq_I.pdb	5gt3_A.pdb
3dlq_I.pdb	3a6n_A.pdb
3dlq_I.pdb	6kvd_A.pdb
3dlq_I.pdb	4hga_B.pdb
3dlq_I.pdb	3mdy_B.pdb
3dlq_I.pdb	1b6c_A.pdb
3dlq_I.pdb	6i1s_B.pdb
3dlq_I.pdb	6oqa_A.pdb
3dlq_I.pdb	3t6g_B.pdb
3dlq_I.pdb	2ff3_A.pdb
3dlq_I.pdb	6zbk_A.pdb
3dlq_I.pdb	7of0_W.pdb
3dlq_I.pdb	4j2j_A.pdb
3dlq_I.pdb	3esk_A.pdb
3dlq_I.pdb	3fwv_A.pdb
3dlq_I.pdb	2v8s_E.pdb
3dlq_I.pdb	4gxl_A.pdb
3dlq_I.pdb	5gmv_A.pdb
3dlq_I.pdb	3vvw_B.pdb
3dlq_I.pdb	5cx3_A.pdb
3dlq_I.pdb	5d94_A.pdb
3dlq_I.pdb	3n1q_A.pdb
3dlq_I.pdb	2wg3_A.pdb
